WORD,LINK
أنا,https://www.signingsavvy.com/search/i%2Bam
أنت,https://www.signingsavvy.com/sign/YOU/500/1
أسف,https://www.signingsavvy.com/sign/SORRY/403/1
افهم,https://www.signingsavvy.com/search/understand
تمام,https://www.signingsavvy.com/sign/OK/303/2
جيد,https://www.signingsavvy.com/search/good
صباح,https://www.signingsavvy.com/sign/MORNING/634/1
اساعد,https://www.signingsavvy.com/sign/HELP/190/1
لطيف,https://www.signingsavvy.com/search/nice
اقابل,https://www.signingsavvy.com/sign/MEET/626/1
نعم,https://www.signingsavvy.com/sign/YES/493/1
لا,https://www.signingsavvy.com/sign/NO/291/1
مرحبا,https://www.signingsavvy.com/search/hello
عذرا,https://www.signingsavvy.com/search/excuse
احب,https://www.signingsavvy.com/sign/LOVE/10269/1
مصر,https://www.signingsavvy.com/sign/EGYPT/1260/2
اكره,https://www.signingsavvy.com/sign/HATE/585/1
املك,https://www.signingsavvy.com/sign/HAVE/183/1
سيارة,https://www.signingsavvy.com/search/car
متعة,https://www.signingsavvy.com/sign/FUN/1379/1
أخذ,https://www.signingsavvy.com/sign/TAKE/2709/1
صورة,https://www.signingsavvy.com/sign/PICTURE/320/1
عطلة,https://www.signingsavvy.com/sign/HOLIDAY/1493/1
مستمتع,https://www.signingsavvy.com/sign/ENJOY/129/1
وقت,https://www.signingsavvy.com/sign/TIME/8316/1
لا,https://www.signingsavvy.com/search/not
كل,https://www.signingsavvy.com/sign/EVERY/1294/1
يوم,https://www.signingsavvy.com/sign/DAY/539/1
لي,https://www.signingsavvy.com/search/my
لك,https://www.signingsavvy.com/sign/YOUR/501/1
متى,https://www.signingsavvy.com/search/when
أين,https://www.signingsavvy.com/search/where
ماذا,https://www.signingsavvy.com/sign/WHAT/724/1
اسمى,https://www.signingsavvy.com/search/name
عمرى,https://www.signingsavvy.com/search/age
شكرا,https://www.signingsavvy.com/sign/THANKS/4733/1
انسى,https://www.signingsavvy.com/search/forget
اتكلم,https://www.signingsavvy.com/sign/SPEAK/2582/2
إنجليزي,https://www.signingsavvy.com/sign/ENGLISH/128/1
اتصل,https://www.signingsavvy.com/sign/CALL/8673/1
رقم,https://www.signingsavvy.com/search/number
رياضة,https://www.signingsavvy.com/sign/SPORT/404/2
كرة القدم,https://www.signingsavvy.com/sign/FOOTBALL/152/1
اجري,https://www.signingsavvy.com/sign/RUN/4404/1
كتاب,https://www.signingsavvy.com/search/book
اقرأ,https://www.signingsavvy.com/search/read
العب,https://www.signingsavvy.com/sign/PLAY/325/1
اركب,https://www.signingsavvy.com/sign/RIDE/5191/1
اليوم,https://www.signingsavvy.com/sign/TODAY/440/3
الشهر,https://www.signingsavvy.com/sign/MONTH/632/1
السنة,https://www.signingsavvy.com/sign/YEAR/732/1
لا شئ,
